,Instrument,ESG Controversies Score Grade,ESG Controversies Score,Date,,TR.TRESGCCONTROVERSIESSCOREGRADE,TR.TRESGCCONTROVERSIESSCORE,TR.TRESGCCONTROVERSIESSCORE.DATE
9,HNKG.DE,B+,66.6666666666666,2013-12-31T00:00:00Z,,,,
10,HNKG.DE,A-,78.5714285714285,2012-12-31T00:00:00Z,,,,
0,LIN,B,64.4230769230769,2021-12-31T00:00:00Z,,,,
1,LIN,A+,100.0,2020-12-31T00:00:00Z,,,,
2,LIN,A+,100.0,2019-12-31T00:00:00Z,,,,
3,LIN,C-,26.9230769230769,2018-12-31T00:00:00Z,,,,
4,LIN,A+,100.0,2017-12-31T00:00:00Z,,,,
5,LIN,A+,100.0,2016-12-31T00:00:00Z,,,,
6,LIN,A+,100.0,2015-12-31T00:00:00Z,,,,
7,LIN,A+,100.0,2014-12-31T00:00:00Z,,,,
8,LIN,A+,100.0,2013-12-31T00:00:00Z,,,,
9,LIN,A+,100.0,2012-12-31T00:00:00Z,,,,
10,LIN,A,85.1851851851851,2011-12-31T00:00:00Z,,,,
0,MBGn.DE,D,9.18367346938775,2021-12-31T00:00:00Z,,,,
1,MBGn.DE,D,9.57446808510638,2020-12-31T00:00:00Z,,,,
2,MBGn.DE,D,13.4146341463414,2019-12-31T00:00:00Z,,,,
3,MBGn.DE,D,12.8205128205128,2018-12-31T00:00:00Z,,,,
4,MBGn.DE,D,10.9756097560975,2017-12-31T00:00:00Z,,,,
5,MBGn.DE,D,15.7142857142857,2016-12-31T00:00:00Z,,,,
6,MBGn.DE,C-,26.9230769230769,2015-12-31T00:00:00Z,,,,
7,MBGn.DE,C+,47.2222222222222,2014-12-31T00:00:00Z,,,,
8,MBGn.DE,D+,24.2857142857142,2013-12-31T00:00:00Z,,,,
9,MBGn.DE,D,13.7931034482758,2012-12-31T00:00:00Z,,,,
10,MBGn.DE,C,34.7826086956521,2011-12-31T00:00:00Z,,,,
0,MRCG.DE,A-,82.2784810126582,2021-12-31T00:00:00Z,,,,
1,MRCG.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
2,MRCG.DE,A+,95.6140350877193,2019-12-31T00:00:00Z,,,,
3,MRCG.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
4,MRCG.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
5,MRCG.DE,A+,100.0,2016-12-31T00:00:00Z,,,,
6,MRCG.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
7,MRCG.DE,A,90.0,2014-12-31T00:00:00Z,,,,
8,MRCG.DE,A,90.5405405405405,2013-12-31T00:00:00Z,,,,
9,MRCG.DE,D+,20.6896551724137,2012-12-31T00:00:00Z,,,,
10,MRCG.DE,C,39.0625,2011-12-31T00:00:00Z,,,,
0,MTXGn.DE,A+,100.0,2021-12-31T00:00:00Z,,,,
1,MTXGn.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
2,MTXGn.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
3,MTXGn.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
4,MTXGn.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
5,MTXGn.DE,A+,100.0,2016-12-31T00:00:00Z,,,,
6,MTXGn.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
7,MTXGn.DE,A+,100.0,2014-12-31T00:00:00Z,,,,
8,MTXGn.DE,A+,100.0,2013-12-31T00:00:00Z,,,,
9,MTXGn.DE,A+,100.0,2012-12-31T00:00:00Z,,,,
10,MTXGn.DE,A+,100.0,2011-12-31T00:00:00Z,,,,
0,MUVGn.DE,B+,67.2413793103448,2021-12-31T00:00:00Z,,,,
1,MUVGn.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
2,MUVGn.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
3,MUVGn.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
4,MUVGn.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
5,MUVGn.DE,A+,100.0,2016-12-31T00:00:00Z,,,,
6,MUVGn.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
7,MUVGn.DE,A+,100.0,2014-12-31T00:00:00Z,,,,
8,MUVGn.DE,A+,100.0,2013-12-31T00:00:00Z,,,,
9,MUVGn.DE,A+,100.0,2012-12-31T00:00:00Z,,,,
10,MUVGn.DE,A+,100.0,2011-12-31T00:00:00Z,,,,
0,PSHG_p.DE,A+,100.0,2022-12-31T00:00:00Z,,,,
1,PSHG_p.DE,C,35.7142857142857,2021-12-31T00:00:00Z,,,,
2,PSHG_p.DE,C+,44.6808510638297,2020-12-31T00:00:00Z,,,,
3,PSHG_p.DE,A,89.0243902439024,2019-12-31T00:00:00Z,,,,
4,PSHG_p.DE,D,8.97435897435897,2018-12-31T00:00:00Z,,,,
5,PSHG_p.DE,C+,42.6829268292682,2017-12-31T00:00:00Z,,,,
6,PSHG_p.DE,C-,32.8571428571428,2016-12-31T00:00:00Z,,,,
7,PSHG_p.DE,C,34.6153846153846,2015-12-31T00:00:00Z,,,,
8,PSHG_p.DE,A+,100.0,2014-12-31T00:00:00Z,,,,
9,PSHG_p.DE,A+,100.0,2013-12-31T00:00:00Z,,,,
10,PSHG_p.DE,C+,44.8275862068965,2012-12-31T00:00:00Z,,,,
0,PUMG.DE,B+,67.5,2021-12-31T00:00:00Z,,,,
1,PUMG.DE,B+,70.5882352941176,2020-12-31T00:00:00Z,,,,
2,PUMG.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
3,PUMG.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
4,PUMG.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
5,PUMG.DE,A+,100.0,2016-12-31T00:00:00Z,,,,
6,PUMG.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
7,PUMG.DE,A+,100.0,2014-12-31T00:00:00Z,,,,
8,PUMG.DE,A+,100.0,2013-12-31T00:00:00Z,,,,
9,PUMG.DE,A+,100.0,2012-12-31T00:00:00Z,,,,
10,PUMG.DE,A+,100.0,2011-12-31T00:00:00Z,,,,
0,QIA.DE,A+,100.0,2021-12-31T00:00:00Z,,,,
1,QIA.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
2,QIA.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
3,QIA.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
4,QIA.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
5,QIA.DE,A+,100.0,2016-12-31T00:00:00Z,,,,
6,QIA.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
7,QIA.DE,A+,100.0,2014-12-31T00:00:00Z,,,,
8,QIA.DE,A+,100.0,2013-12-31T00:00:00Z,,,,
9,QIA.DE,A+,100.0,2012-12-31T00:00:00Z,,,,
10,QIA.DE,A+,100.0,2011-12-31T00:00:00Z,,,,
0,RWEG.DE,D-,3.125,2021-12-31T00:00:00Z,,,,
1,RWEG.DE,B+,66.6666666666666,2020-12-31T00:00:00Z,,,,
2,RWEG.DE,A-,81.8181818181818,2019-12-31T00:00:00Z,,,,
3,RWEG.DE,B+,66.6666666666666,2018-12-31T00:00:00Z,,,,
4,RWEG.DE,B+,72.7272727272727,2017-12-31T00:00:00Z,,,,
5,RWEG.DE,D-,6.25,2016-12-31T00:00:00Z,,,,
6,RWEG.DE,D,14.2857142857142,2015-12-31T00:00:00Z,,,,
7,RWEG.DE,C+,45.0,2014-12-31T00:00:00Z,,,,
8,RWEG.DE,A,85.0,2013-12-31T00:00:00Z,,,,
9,RWEG.DE,B,62.5,2012-12-31T00:00:00Z,,,,
10,RWEG.DE,C-,31.8181818181818,2011-12-31T00:00:00Z,,,,
0,SAPG.DE,A+,100.0,2022-12-31T00:00:00Z,,,,
